Bucuresti
Iasi
Iasi
Pascani
Targu Frumos
Harlau
Cluj
Cluj-Napoca
Turda
Dej
Campia Turzii
Gherla
Huedin
Timis
Timisoara
Lugoj
Sannicolau Mare
Jimbolia
Buzias
Faget
Deta
Constanta
Constanta
Medgidia
Mangalia
Navodari
Cernavoda
Ovidiu
Harsova
Murfatlar
Eforie
Techirghiol
Negru Voda
Dolj
Craiova
Bailesti
Calafat
Filiasi
Segarcea
Galati
Galati
Tecuci
Targu Bujor
Beresti
Brasov
Brasov
Fagaras
Sacele
Zarnesti
Codlea
Rasnov
Victoria
Predeal
Rupea
Prahova
Ploiesti
Campina
Baicoi
Breaza
Mizil
Sinaia
Valenii de Munte
Comarnic
Urlati
Busteni
Boldesti-Scaeni
Plopeni
Slanic
Azuga
Braila
Braila
Ianca
Insuratei
Faurei
Bihor
Oradea
Salonta
Marghita
Beius
Sacueni
Alesd
Valea lui Mihai
stei
Vascau
Nucet
Bacau
Bacau
Onesti
Comanesti
Moinesti
Buhusi
Darmanesti
Targu Ocna
Slanic-Moldova
Arad
Arad
Lipova
Ineu
Curtici
Chisineu-Cris
Nadlac
Pancota
Sebis
Arges
Pitesti
Campulung
Mioveni
Curtea de Arges
Costesti
Topoloveni
Sibiu
Sibiu
Medias
Cisnadie
Avrig
Agnita
Talmaciu
Dumbraveni
Copsa Mica
Ocna Sibiului
Mures
Targu Mures
Reghin
Sighisoara
Tarnaveni
Ludus
Sovata
Iernut
Maramures
Baia Mare
Sighetu Marmatiei
Borsa
Viseu de Sus
Baia Sprie
Targu Lapus
Seini
Cavnic
Buzau
Buzau
Ramnicu Sarat
Nehoiu
Pogoanele
Satu Mare
Satu Mare
Carei
Negresti-Oas
Tasnad
Botosani
Botosani
Dorohoi
Darabani
Saveni
Valcea
Ramnicu Valcea
Dragasani
Calimanesti-Caciulata
Brezoi
Horezu
Baile Olanesti
Ocnele Mari
Baile Govora
Suceava
Suceava
Falticeni
Radauti
Campulung Moldovenesc
Vatra Dornei
Gura Humorului
Siret
Solca
Neamt
Piatra Neamt
Roman
Targu Neamt
Bicaz
Mehedinti
Drobeta-Turnu Severin
Orsova
Strehaia
Vanju Mare
Baia de Arama
Vrancea
Focsani
Adjud
Marasesti
Panciu
Odobesti
Gorj
Targu Jiu
Motru
Rovinari
Bumbesti-Jiu
Targu Carbunesti
Tismana
Novaci
ticleni
Tulcea
Tulcea
Macin
Babadag
Isaccea
Sulina
Dambovita
Targoviste
Moreni
Gaesti
Pucioasa
Titu
Fieni
Caras-Severin
Resita
Caransebes
Bocsa
Oravita
Moldova Noua
Otelu Rosu
Anina
Baile Herculane
Bistrita-Nasaud
Bistrita
Beclean
Nasaud
Sangeorz-Bai
Olt
Slatina
Caracal
Bals
Corabia
Scornicesti
Draganesti-Olt
Piatra-Olt
Hunedoara
Hunedoara
Deva
Petrosani
Vulcan
Lupeni
Petrila
Orastie
Brad
Calan
Simeria
Hateg
Uricani
Geoagiu
Aninoasa
Calarasi
Calarasi
Oltenita
Budesti
Lehliu Gara
Fundulea
Vaslui
Vaslui
Barlad
Husi
Negresti
Giurgiu
Giurgiu
Bolintin-Vale
Dealu
Mihailesti
Alba
Alba Iulia
Cugir
Sebes
Aiud
Blaj
Ocna Mures
Zlatna
Campeni
Teius
Abrud
Baia de Aries
Salaj
Zalau
simleu Silvaniei
Jibou
Cehu Silvaniei
Covasna
Sfantu Gheorghe
Targu Secuiesc
Covasna
Baraolt
Intorsura Buzaului
Ialomita
Slobozia
Fetesti
Urziceni
tandarei
Teleorman
Alexandria
Rosiori de Vede
Turnu Magurele
Zimnicea
Videle
Harghita
Miercurea Ciuc
Odorheiu Secuiesc
Gheorgheni
Toplita
Cristuru Secuiesc
Balan
Vlahita
Borsec
Baile Tusnad
Ilfov
Buftea
Otopeni
